id;authority_id;permission_id;granted_by;granted_date
1;1;1;system;2025-01-01T00:00:00
2;1;2;system;2025-01-01T00:00:00
3;1;3;system;2025-01-01T00:00:00
4;1;4;system;2025-01-01T00:00:00
5;1;5;system;2025-01-01T00:00:00
6;1;6;system;2025-01-01T00:00:00
7;1;7;system;2025-01-01T00:00:00
8;1;8;system;2025-01-01T00:00:00
9;1;9;system;2025-01-01T00:00:00
10;1;10;system;2025-01-01T00:00:00
11;1;11;system;2025-01-01T00:00:00
12;1;12;system;2025-01-01T00:00:00
13;1;13;system;2025-01-01T00:00:00
14;2;2;system;2025-01-01T00:00:00
15;2;6;system;2025-01-01T00:00:00
16;2;11;system;2025-01-01T00:00:00
