id;authority_id;permission_id;granted_by;granted_date
59;2;14;system;2025-01-01T00:00:00
60;2;18;system;2025-01-01T00:00:00
61;2;20;system;2025-01-01T00:00:00
62;2;22;system;2025-01-01T00:00:00
63;2;24;system;2025-01-01T00:00:00
64;2;27;system;2025-01-01T00:00:00
65;2;29;system;2025-01-01T00:00:00
66;2;31;system;2025-01-01T00:00:00
67;2;33;system;2025-01-01T00:00:00
68;2;45;system;2025-01-01T00:00:00
69;2;48;system;2025-01-01T00:00:00
70;2;49;system;2025-01-01T00:00:00
71;2;50;system;2025-01-01T00:00:00
